id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd00006	nadp	NADP	C21H25N7O17P3	741	Primary Database	XJLXINKUBYWONI-NNYOXOHSSA-K	-3	1	0	null	0	-498.36	1.63	1:18:0.90;1:19:5.78;1:26:3.26;1:30:0.66;1:47:11.66	1:11:-7.46;1:12:-1.06;1:22:4.87	null	null	Name: NADP; NADP(+); NADP+; NADP-ox; NADP-oxidized; Nicotinamide adenine dinucleotide phosphate; Nicotinamide adenine dinucleotide phosphate -; Nicotinamideadeninedinucleotidephosphate; TPN; TPN+; TPN-ox; Triphosphopyridine nucleotide; beta-NADP+; beta-Nicotinamide adenine dinucleotide phosphate; coenzyme II; nicotinamide adenine dinucleotide phosphate; nicotinamide adenine dinucleotide-P; triphosphopyridine nucleotide|AraCyc: NADP|BiGG: nadp|BrachyCyc: NADP|KEGG: C00006|MetaCyc: NADP	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1	GC|EQ|EQU
cpd00087	thf	Tetrahydrofolate	C19H21N7O6	443	Primary Database	MSTNYGQPCMXVAQ-RYUDHWBXSA-L	-2	1	0	null	0	-113.97	3.02	1:1:7.82;1:12:17.62;1:22:15.90;1:28:4.20;1:32:3.46	1:3:0.73;1:12:-3.23;1:14:2.78	null	null	"Name: (6S)-THFA; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; 5,6,7,8-tetrahydrofolate; 5,6,7,8-tetrahydrofolic acid; 5-6-7-8-Tetrahydrofolate; FH4; H4F; H4PteGlu; H4PteGlu1; THF; Tetrahydrofolate; Tetrahydrofolic acid; folate-H4; tetra-H-folate; tetrahydrafolate; tetrahydrofolate; tetrahydrofolic acid; tetrahydropteroyl mono-L-glutamate; tetrahydropteroylglutamate; th-folate; vitamin B9|AraCyc: THF|BiGG: thf|BrachyCyc: THF|KEGG: C00101|MetaCyc: THF"	Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2	GC|EQ
cpd00201	10fthf	10-Formyltetrahydrofolate	C20H21N7O7	471	Primary Database	AUFGTPPARQZWDO-YPMHNXCESA-L	-2	1	0	null	0	-144.77	3.21	1:1:7.82;1:12:17.62;1:22:15.04;1:28:3.96;1:32:3.13	1:3:0.62;1:12:-3.17;1:23:-1.22	null	null	Name: 10-Formyl-THF; 10-Formyltetrahydrofolate; 10-formyl-H4PteGlu1; 10-formyl-THF; 10-formyl-THF mono-L-glutamate; 10-formyl-tetrahydrofolate; 10-formyl-tetrahydrofolate mono-L-glutamate; N10-formyl-H4F; N10-formyl-H4F mono-L-glutamate; N10-formyl-H4PteGlu1; N10-formyl-THF; N10-formyl-THF mono-L-glutamate; N10-formyl-tetrahydrofolate; N10-formyl-tetrahydrofolate mono-L-glutamate|AraCyc: 10-FORMYL-THF|BiGG: 10fthf|BrachyCyc: 10-FORMYL-THF|KEGG: C00234|MetaCyc: 10-FORMYL-THF	Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2	GC|EQ
cpd00347	methf	5-10-Methenyltetrahydrofolate	C20H20N7O6	454	Primary Database	MEANFMOQMXYMCT-OLZOCXBDSA-M	-1	1	0	null	0	-97	3.12	1:2:7.22;1:10:18.03;1:14:16.95;1:23:15.56;1:29:3.21;1:32:4.05	1:14:-1.68;1:24:-0.92	null	null	"Name: 5,10-Methenyltetrahydrofolate; 5,10-methenyl-H4PteGlu1; 5,10-methenyl-THF; 5,10-methenyl-THF mono-L-glutamate; 5,10-methenyltetrahydrofolate; 5,10-methenyltetrahydrofolate mono-L-glutamate; 5-10-Methenyltetrahydrofolate; CH-THF; CH-THF mono-L-glutamate; N5-N10-CH-THF mono-L-glutamate; N5-N10-methenyltetrahydrofolate mono-L-glutamate; anhydroleucovorin; anhydroleucovorin mono-L-glutamate; methenyl-H4F; methenyl-H4F mono-L-glutamate; methenyl-THF; methenyl-THF mono-L-glutamate; methenyl-tetrahydrofolate; methenyl-tetrahydrofolate mono-L-glutamate; n5-n10-CH-THF; n5-n10-methenyltetrahydrofolate|AraCyc: 5-10-METHENYL-THF|BiGG: methf|BrachyCyc: 5-10-METHENYL-THF|KEGG: C00445|MetaCyc: 5-10-METHENYL-THF"	Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2	GC|EQ
cpd00345	5mthf	5-Methyltetrahydrofolate	C20H23N7O6	457	Primary Database	ZNOVTXRBGFNYRX-STQMWFEESA-L	-2	1	0	null	0	-101.7	2.85	1:1:7.81;1:12:17.62;1:14:20.00;1:22:15.90;1:28:4.21;1:32:3.48	1:3:0.73;1:12:-3.22;1:14:2.82	null	null	"Name: 5-Methyltetrahydrofolate; 5-methyl-5,6,7,8-tetrahydrofolate; 5-methyl-5,6,7,8-tetrahydrofolate mono-L-glutamate; 5-methyl-5,6,7,8-tetrahydropteroyl-L-glutamate; 5-methyl-5,6,7,8-tetrahydropteroyl-L-glutamic acid; 5-methyl-THF; 5-methyl-THF mono-L-glutamate; 5-methyl-tetrahydrofolate; 5-methyltetrahydrofolate mono-L-glutamate; 5-methyltetrahydropteroyl mono-L-glutamate; N5-methyl--H4PteGlu1; N5-methyl-THF; N5-methyl-THF mono-L-glutamate; N5-methyltetrahydropteroyl mono-L-glutamate; N5-methyltetrahydropteroylmonoglutamate; methyl-H4F; methyl-H4F mono-L-glutamate; methyl-THF; methyl-THF mono-L-glutamate; methyl-tetrahydrofolate; methyl-tetrahydrofolate mono-L-glutamate; n5-methyltetrahydrofolate; n5-methyltetrahydrofolate mono-L-glutamate|AraCyc: 5-METHYL-THF|BiGG: 5mthf|BrachyCyc: 5-METHYL-THF|KEGG: C00440|MetaCyc: 5-METHYL-THF; CPD0-2045"	CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1	GC|EQ
cpd12810	Corrinoid	Corrinoid	C19H3CoN4R21	306	Primary Database		3	1	0	null	0	10000000	10000000		1:3:-8.85;1:6:9.48;1:27:12.58;1:29:11.60	null	null	Name: Co(I) corrinoid protein; Corrinoid; Corrinoid protein; Corrinoid protein Co+|KEGG: C06021	*/C1=C2/[NH+]=C(/C(*)=C3\[NH+]=C(/C(*)=C4\N([Co])C(*)(C(*)(*)C4(*)*)C4(*)[NH+]=C1C(*)(*)C4(*)*)C(*)(*)C3(*)*)C(*)(*)C2(*)*	GC
cpd12809	Methylcorrinoid	Methylcorrinoid	C20H6CoN4R21	306	Primary Database		4	1	0	null	0	10000000	10000000		1:6:9.38;1:27:12.50;1:29:11.53	null	null	Name: Corrinoid protein Co2+-CH3; Methyl-Co(III) corrinoid protein; Methylcorrinoid; Methylcorrinoid protein|KEGG: C06020	*/C1=C2/[NH+]=C(/C(*)=C3\[NH+]=C(/C(*)=C4\N([Co+]C)C(*)(C(*)(*)C4(*)*)C4(*)[NH+]=C1C(*)(*)C4(*)*)C(*)(*)C3(*)*)C(*)(*)C2(*)*	GC
cpd00196	actp	Acetylphosphate	C2H3O5P	139	Primary Database	LIPOUNRJVLNBCD-UHFFFAOYSA-L	-2	1	0	null	0	-264.28	0.27	1:3:1.24;1:4:6.28	1:8:-7.39	null	null	Name: Acetyl phosphate; Acetylphosphate; acetyl phosphate; acetyl-P; acetyl-phosphate; acetylphosphate|BiGG: actp|BrachyCyc: ACETYL-P|ChlamyCyc: ACETYL-P|KEGG: C00227|MetaCyc: ACETYL-P	CC(=O)OP(=O)([O-])[O-]	GC|EQ|EQU
cpd00029	ac	Acetate	C2H3O2	59	Primary Database	QTBSBXVTEAMEQO-UHFFFAOYSA-M	-1	1	0	null	0	-58.88	0.24	1:3:4.54		null	null	Name: ACET; Acetate; Acetic acid; Ethanoic acid; Glacial acetic acid; acetate; acetic acid; ethanoic acid|AraCyc: ACET|BiGG: ac|BrachyCyc: ACET|KEGG: C00033|MetaCyc: ACET	CC(=O)[O-]	GC|EQ|EQU
cpd00075	no2	Nitrite	HNO2	46	Primary Database	IOVCWXUNBOPUCH-UHFFFAOYSA-N	0	1	0	null	0	-7.89	0.71		1:1:-3.47	null	null	Name: NO2; NO2-; Nitrite; nitrite|AraCyc: NITRITE|BiGG: no2|BrachyCyc: NITRITE|KEGG: C00088|MetaCyc: NITRITE	O=NO	GC|EQ|EQU
cpd00013	nh4	NH3	H4N	18	Primary Database	QGZKDVFQNNGYKY-UHFFFAOYSA-O	1	1	0	cpd19013	0	19.05	0.26		1:1:8.86	null	null	Name: Ammonia; Ammonia ion; Ammonium; Ammonium(1+); NH3; NH4+; NH4plus; ammonia; ammonium|AraCyc: AMMONIA; AMMONIUM|BiGG: nh3; nh4|BrachyCyc: AMMONIA; AMMONIUM|KEGG: C00014; C01342|MetaCyc: AMMONIA; AMMONIUM	[NH4+]	GC|EQ|EQU
